Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-02/03:00:00 0.048163206472406 0.0482245591437206 -0.0331535120577926 -0.0331534708233508 -0.0331535944869037 -0.0340130804648701 -0.0330415852040156 6.22047046357516e-05 0 6.22047046357516e-05 4.5 57.871725585155 99.8106022309087 99.9517754408563 99.8670715148878 99.8670715148878 24.576232530546 70.7915887363731 88.4895871825804 0 0 0.0138903010414444 0 -4.11526102087688 0 0 0.3 96.9151457762004 0 
1990-01-02/04:00:00 0.048163206472406 0.0482245591437206 -0.0331521388465533 -0.0331521077370264 -0.0331522010356006 -0.0339980680846487 -0.0330420176315282 6.17523622338393e-05 0 6.17523622338393e-05 4.5 57.8751157960163 99.8106101891689 99.9517754408563 99.8670762898439 99.8670762898439 24.5762399331337 70.7915491488215 88.489554776066 0 0 0.0137892930522069 0 -4.21201469450251 0 0 0.3 96.9151458182673 0 
1990-01-02/05:00:00 0.048163206472406 0.0482245591437206 -0.0331510844862156 -0.0331510603219147 -0.0331511327915097 -0.0339858036904254 -0.0330424430174496 6.13029374390021e-05 0 6.13029374390021e-05 4.5 57.87848435708 99.8106162901102 99.9517754408563 99.8670799504087 99.8670799504087 24.5762474182457 70.7915100594974 88.4895227200321 0 0 0.0136889365641835 0 -4.30876836812814 0 0 0.3 96.9151458603341 0 
1990-01-02/06:00:00 0.048163206472406 0.0482245591437206 -0.0331508646810514 -0.0331508621256328 -0.0331508697894238 -0.0339756305511341 -0.033043585406941 6.08831249251206e-05 0 6.08831249251206e-05 4.5 57.8816311614932 99.8106177921642 99.9517754408563 99.867080851641 99.867080851641 24.5762425951324 70.7914713049892 88.4894908828849 1.25710348479817e-05 0.00024367860104319 0.0135951924939733 0.00372593820302972 -4.39971659266992 0.00157108745070182 2.38046051860232 0.3 96.9151458998768 0 
1990-01-02/07:00:00 0.048163206472406 0.0482245591437206 -0.0331529984376172 -0.0331530753464189 -0.0331528446941962 -0.0339695409932708 -0.0330470374379504 6.13243795107311e-05 0 6.13243795107311e-05 4.5 57.8783236380059 99.8106065131146 99.9517754408563 99.8670740842113 99.8670740842113 24.5760073728803 70.7914324890725 88.4894589441292 0.000243887689908123 0.00448387377430968 0.0136937245755246 0.0682686470769283 -4.30413798853286 0.0287863106832366 43.6160800769264 0.3 96.9151458583209 0 
1990-01-02/08:00:00 0.048163206472406 0.0482245591437206 -0.0331554642416591 -0.0331555622268609 -0.0331552683657669 -0.0339701638101924 -0.0330498089163191 0.00110248233222114 9.19588630414539e-05 6.25065297213145e-05 4.5 57.8694635917234 99.8105926710747 99.9517754408563 99.8670657789873 99.8670657789873 24.5756343523319 70.7913932930946 88.4894266454775 0.00038277744224684 0.00852930053582185 0.0139576985369374 0.12841287700294 -4.05104844821238 0.054146861427757 82.041560307434 0.3 96.915145748282 0 
1990-01-02/09:00:00 0.048163206472406 0.0482245591437206 -0.0357575571488857 -0.0348428131423944 -0.0375861628997479 -0.0344916765772511 -0.0330589952187731 0.00104957133984461 7.45950613898926e-05 6.42845383787315e-05 4.5 57.8561404902341 99.7852879269619 99.9517754408563 99.8518829325197 99.8518829325197 24.5751044311527 70.7909725667366 88.4890850486966 0.000387994573490148 0.0121570481574159 0.014354727598492 0.180059898104647 -3.67826500407784 0.0759244600613157 115.038268233525 0.3 96.9151455862022 0 
1990-01-02/10:00:00 0.048163206472406 0.0482245591437206 -0.0357241052491316 -0.0348419788470062 -0.0374875072504969 -0.0348994145525199 -0.0330702561079015 6.64246540208619e-05 0 6.64246540208619e-05 4.5 57.8401085119536 99.7858513272438 99.9517754408563 99.8522209726888 99.8522209726888 24.5745501927298 70.7905030874012 88.4887033341924 0.000394835021438587 0.0151161254784461 0.01483261509441 0.219690051244706 -3.24148953758883 0.092634999226219 140.357532739673 0.3 96.9151453962998 0 
1990-01-02/11:00:00 0.048163206472406 0.0482245591437206 -0.0332820792035006 -0.0332754673144113 -0.0332952966044181 -0.034700853499188 -0.0330768539632989 6.8621133711761e-05 0 6.8621133711761e-05 4.5 57.8236593987506 99.8097929446455 99.9517754408563 99.8665859431298 99.8665859431298 24.574133403678 70.7903879204933 88.4886081626256 0.000402324766004677 0.0171463411252262 0.0153230886738066 0.244602606978546 -2.80598571761699 0.10313968329385 156.273887791849 0.3 96.9151452069503 0 
1990-01-02/12:00:00 0.048163206472406 0.0482245591437206 -0.0332478416004925 -0.0332474485407936 -0.0332486273407674 -0.0345174315035583 -0.0330814850090312 7.05331139027515e-05 0 7.05331139027515e-05 4.5 57.8093450633861 99.810059480991 99.9517754408563 99.8667458649371 99.8667458649371 24.5737336306442 70.7903271698962 88.4885569690016 0.000409346841982399 0.0180203051952008 0.0157500335583399 0.253099815802851 -2.43682720163547 0.106722635404812 161.702660096266 0.3 96.9151450464467 0 
