Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/16:00:00 0.048181398824637 0.0482525763693794 -0.0350514608327901 -0.0344270995469223 -0.0362995808634997 -0.035511913406936 -0.0330372834710268 0.00040407469645087 5.22858652452657e-05 6.69307544426978e-05 4.5 57.8363179425533 99.792635379977 99.9517474236306 99.8562801974384 99.8562801974384 24.5770264021706 70.791257552804 88.4893083674479 0.000405548339649772 0.00178707665178282 0.0149456272412833 0.0258595100799987 -3.14002452620493 0.0109039789588961 16.5213536622214 0.3 96.9151453521846 0 
1990-01-01/17:00:00 0.048181398824637 0.0482525763693794 -0.034098915101709 -0.0338101159853038 -0.0346762346283804 -0.0352502252447631 -0.0330452133780416 6.62112950305931e-05 0 6.62112950305931e-05 4.5 57.8417066011934 99.8019062578652 99.9517474236306 99.8618427241714 99.8618427241714 24.576860295949 70.7910254764903 88.489119497439 9.21964102558449e-05 0 0.0147849720644803 0 -3.28446990587097 0 0 0.3 96.9151454149869 0 
1990-01-01/18:00:00 0.048181398824637 0.0482525763693794 -0.0332627225525438 -0.0332602009939866 -0.0332677632361215 -0.034884546349476 -0.0330438910978249 6.6005839766533e-05 0 6.6005839766533e-05 4.5 57.8432455364523 99.8099501925136 99.9517474236306 99.8666690849604 99.8666690849604 24.5768448872266 70.7909406687099 88.4890496883674 0 0 0.0147390939354054 0 -3.32597420503226 0 0 0.3 96.9151454330323 0 
1990-01-01/19:00:00 0.048181398824637 0.0482525763693794 -0.0332272753027363 -0.0332265872137929 -0.0332286508165448 -0.0346143188340597 -0.033044718882688 6.58009494396825e-05 0 6.58009494396825e-05 4.5 57.844780285125 99.8101735704849 99.9517474236306 99.8668031117432 99.8668031117432 24.5768397474674 70.7908815513088 88.4890005978423 0 0 0.0146933419567231 0 -3.36747850419355 0 0 0.3 96.9151454510776 0 
1990-01-01/20:00:00 0.048181398824637 0.0482525763693794 -0.0332058845504368 -0.0332054197862036 -0.0332068136303565 -0.034428412105398 -0.0330454245465255 6.55966227092557e-05 0 6.55966227092557e-05 4.5 57.846310856885 99.8102982865941 99.9517474236306 99.8668779414087 99.8668779414087 24.5768373098786 70.7908293555965 88.4889570408472 0 0 0.0146477158290361 0 -3.40898280335484 0 0 0.3 96.915145469123 0 
1990-01-01/21:00:00 0.048181398824637 0.0482525763693794 -0.0331912869681448 -0.0331909696050545 -0.0331919213880365 -0.0343003302871608 -0.0330460484077514 6.53928582370989e-05 0 6.53928582370989e-05 4.5 57.8478372613877 99.8103833389018 99.9517474236306 99.8669289727933 99.8669289727933 24.5768366900307 70.7907818901043 88.4889172505941 0 0 0.0146022152535349 0 -3.45048710251613 0 0 0.3 96.9151454871683 0 
1990-01-01/22:00:00 0.048181398824637 0.0482525763693794 -0.0331813245356277 -0.0331811080442999 -0.0331817573093464 -0.0342118355655387 -0.0330466158335087 6.5189654687685e-05 0 6.5189654687685e-05 4.5 57.8493595082717 99.8104413878179 99.9517474236306 99.866963802143 99.866963802143 24.5768373053348 70.790737710985 88.4888800633424 0 0 0.0145568399319965 0 -3.49199140167742 0 0 0.3 96.9151455052137 0 
1990-01-01/23:00:00 0.048181398824637 0.0482525763693794 -0.0331745349049025 -0.0331743874623803 -0.0331748296476494 -0.0341504426773524 -0.033047144178203 6.4987010728113e-05 0 6.4987010728113e-05 4.5 57.8508776071575 99.810480952969 99.9517474236306 99.8669875412336 99.8669875412336 24.5768387571625 70.7906958299469 88.4888446826423 0 0 0.0145115895667843 0 -3.53349570083871 0 0 0.3 96.915145523259 0 
1990-01-02/00:00:00 0.048181398824637 0.0482525763693794 -0.0331700061263303 -0.0331699090864671 -0.0331702001124031 -0.0341084528072804 -0.0330476454546646 6.50602894361902e-05 0 6.50602894361902e-05 4.5 57.8523916109724 99.8105073930994 99.9517474236306 99.8670034053119 99.8670034053119 24.5768407678536 70.7906555582343 88.4888105534928 0 0 0.0144664625695315 0 -3.575 0 0 0.4 96.9151458166667 0 
1990-01-02/01:00:00 0.048181398824637 0.0482525763693794 -0.033166994645186 -0.0331669294648145 -0.0331671249430229 -0.0340793426285276 -0.033048128163395 6.48576988897865e-05 0 6.48576988897865e-05 4.5 57.8539029733156 99.8105249559606 99.9517474236306 99.8670139430286 99.8670139430286 24.5768431429438 70.7906164130896 88.488777286923 0 0 0.0144214156049101 0 -3.61654646931316 0 0 0.4 96.9151458273196 0 
